[Thu Sep 27 15:22:53.857216 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  20. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/html/bookshelf/vendor/fideloper/proxy/src/TrustProxies.php:57, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857222 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  21. App\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857227 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  22. Illuminate\\Routing\\Router->dispatch() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857233 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  23. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:611, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857238 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  24. Illuminate\\Routing\\Router->runRoute() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:622, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857242 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  25. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:656, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857248 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  26. Illuminate\\Routing\\Router->gatherRouteMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:672, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857252 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  27. Illuminate\\Routing\\Route->gatherMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Router.php:692, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857257 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  28. Illuminate\\Routing\\Route->controllerMiddleware() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:757, referer: http://dev.bookshelf.com/admin/accounts
[Thu Sep 27 15:22:53.857265 2018] [php7:notice] [pid 1519] [client 127.0.0.1:49444] PHP  29. Illuminate\\Routing\\Route->getController() /var/www/html/bookshelf/vendor/laravel/framework/src/Illuminate/Routing/Route.php:796, referer: http://dev.bookshelf.com/admin/accounts
